Mandelbrot;-2.1;1.1;-1.5;1.5;100;100;1000;16;RGB0;z^2;z;z;2;
Julia;-2;2;-2;2;100;100;100;16;RGB0;z^2-0.75+0.1234i;z;1/z;2;
Newton;-2;2;-2;2;100;100;100;16;RGB0;z^3-1;z;3z^2;0.000000000001;
Mandelbrot;-1.5;4.1;-1.7;1.7;200.0;200.0;1000;16;HSL4;z^2;z;1/z;2;
Julia;-0.5018964093750005;-0.5018924093750006;0.061581345312500146;0.06158534531250015;2.3703703703703707E8;2.3703703703703707E8;1000000;16;HSL0;z^2-0.75+0.1234i;z;z;2;
Newton;-1.1953333333333331;-0.3953333333333332;-0.3986666666666669;0.4013333333333328;750.0;750.0;10000;16;HSL1;z^3-1;z;3z^2;0.000000000001;
Newton;-40.79533333333334;39.20466666666667;-39.99866666666666;40.00133333333332;7.5;7.5;10000;16;HSL1;z^3-1;z^2;z;0.000000000001;
Newton;-2.4753333333333374;-1.675333333333337;-0.412000000000015;0.3879999999999839;750.0;750.0;2560000;16;HSL3;z^3-z^2+1;z^2-4;z;0.000000000001;
Mandelbrot;-2;2;-1.5;1.5;300.0;300.0;100000;16;HSL1;z^2+z;z^2;z^2;2;
Newton;-200.00000000000006;200.00000000000006;-200.00000000000006;200.00000000000006;2.0;2.0;10000000;16;RGB1;z^3-1;z;z;0.000000000001;
Julia;-1.0;1.0;-1.0;1.0;400.0;400.0;10000;16;HSL0;z^2-0.75+0.1234i;z;z;1;
Mandelbrot;-1.4;4.1;-1.7;1.7;200.0;200.0;1000;16;BGR0;z^2;1/z;1/z;2;
Mandelbrot;-2.1;1.1;-1.5;1.5;200.0;200.0;1000;16;RGB0;(z^2-1)/(1.3z-1);z;z;2;
Mandelbrot;0.10386666666666701;0.11986666666666702;-0.007016666666666708;0.007983333333333294;60000;60000;10000;16;HSL0;(z^2-1)/(1.3z-1);z;z;2;
Mandelbrot;-1.4072966666666797;1.7927033333333464;-1.499996666666667;1.500003333333334;300;300;1000;16;GBR0;(z^2-1)/(1.1z-1);z;z;2;
